Outlook,Temp,Humidity,Windy,Play
Sunny,Hot,High,Weak,No
Overcast,Mild,Normal,Weak,Yes
Sunny,Hot,Normal,Strong,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Mild,Normal,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Cool,High,Weak,No
Overcast,Hot,Normal,Strong,Yes
Sunny,Cool,Normal,Strong,Yes
Overcast,Hot,High,Strong,Yes
Sunny,Mild,Normal,Weak,Yes
Rain,Mild,Normal,Strong,No
Rain,Cool,High,Weak,No
Overcast,Mild,Normal,Strong,Yes
Overcast,Mild,High,Strong,Yes
Rain,Cool,High,Weak,No
Sunny,Hot,Normal,Strong,Yes
Overcast,Mild,Normal,Strong,No
Rain,Hot,High,Strong,No
Rain,Cool,High,Weak,No
