Outlook,Temp,Humidity,Windy,Play
Sunny,Hot,High,Weak,No
Overcast,Hot,Normal,Weak,Yes
Sunny,Mild,Normal,Weak,Yes
Rain,Mild,Normal,Weak,No
Overcast,Mild,Normal,Strong,Yes
Sunny,Hot,High,Strong,No
Sunny,Cool,High,Strong,No
Rain,Mild,Normal,Weak,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,High,Strong,No
Sunny,Cool,Normal,Weak,Yes
Sunny,Hot,High,Weak,No
Rain,Cool,Normal,Weak,Yes
Sunny,Cool,Normal,Strong,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Mild,Normal,Weak,Yes
Rain,Hot,Normal,Weak,Yes
Sunny,Mild,Normal,Weak,Yes
Sunny,Hot,High,Weak,No
Rain,Cool,Normal,Weak,Yes
